id;date;description;amount
1;2020-07-19T16:43:02;Mississippi New Mexico Towels;97552
2;2020-07-19T19:21:32;Plastic Developer actuating;40055
3;2020-07-19T03:14:42;Persevering;36513
4;2020-07-19T18:28:13;hard drive olive Sausages;7818
5;2020-07-19T00:22:06;generate Portugal;92824
6;2020-07-19T08:55:23;Rustic architect;86710
7;2020-07-19T18:52:12;Home Loan Account;62373
8;2020-07-19T03:14:18;Iowa Rhode Island;37746
9;2020-07-19T04:39:30;Tokelau Rhode Island;33898
10;2020-07-19T20:15:17;Ergonomic Triple-buffered infrastructures;72605
